CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta07g00940	199	511	238	312	305	143
ostta07g00950	34	52	39	56	43	41
ostta07g00960	20	71	33	35	50	120
ostta07g00970	4	11	7	2	16	8
ostta07g00980	2745	5926	4394	4326	3810	635
ostta07g00990	33	32	26	53	41	30
ostta07g01000	5	7	8	10	2	0
ostta07g01010	98	213	91	163	106	18
ostta07g01020	70	113	93	101	111	72
ostta07g01030	6	11	5	10	13	12
ostta07g01040	263	590	284	353	306	386
ostta07g01050	45	123	33	37	59	1
ostta07g01060	98	180	155	166	205	88
ostta07g01070	71	136	85	139	93	60
ostta07g01080	14	29	12	25	19	14
ostta07g01090	129	320	130	264	251	35
ostta07g01100	56	128	95	106	76	59
ostta07g01110	377	817	317	400	332	399
ostta07g01120	411	1016	370	621	479	426
ostta07g01130	60	86	60	65	74	27
ostta07g01140	18	30	30	24	20	21
ostta07g01150	85	228	91	67	62	18
ostta07g01160	430	773	542	388	249	199
ostta07g01170	2	4	5	0	3	4
ostta07g01175	19	39	22	29	19	12
ostta07g01180	358	712	577	731	569	733
ostta07g01190	124	237	153	162	164	74
ostta07g01200	704	1446	637	748	484	58
ostta07g01205	451	862	493	534	347	846
ostta07g01210	257	626	259	298	308	262
ostta07g01220	96	198	46	137	130	79
ostta07g01230	127	352	150	140	143	89
ostta07g01250	5	10	2	10	4	5
ostta07g01260	227	544	271	253	183	245
ostta07g01270	117	266	159	236	220	135
ostta07g01280	37	61	27	64	32	33
ostta07g01285	13	41	20	18	33	32
ostta07g01290	203	350	273	186	151	829
ostta07g01300	14	16	12	7	8	28
ostta07g01310	503	1185	477	588	580	258
ostta07g01320	138	287	130	171	107	119
ostta07g01330	141	379	237	290	238	16
ostta07g01340	121	214	181	228	189	131
ostta07g01350	1481	2900	1554	1437	1091	3848
ostta07g01360	40	99	68	65	53	34
ostta07g01370	11	24	21	21	15	17
ostta07g01380	129	257	132	88	64	47
ostta07g01390	180	474	203	274	267	226
ostta07g01400	93	150	127	122	114	78
ostta07g01410	118	198	136	215	120	167
ostta07g01420	145	309	150	189	175	163
ostta07g01430	96	213	94	173	146	99
ostta07g01435	13	41	13	19	15	2
ostta07g01440	171	378	185	301	202	119
ostta07g01450	168	322	186	257	323	250
ostta07g01460	16	49	29	27	32	38
ostta07g01470	133	278	136	169	112	124
ostta07g01480	102	249	106	170	119	20
ostta07g01490	129	289	121	236	191	151
ostta07g01500	110	181	119	168	174	92
ostta07g01510	33	44	45	47	25	19
ostta07g01520	426	1156	524	545	434	448
ostta07g01530	93	215	90	83	45	84
ostta07g01540	263	591	233	395	343	136
ostta07g01550	278	561	208	377	259	34
ostta07g01560	36	84	64	62	46	52
ostta07g01570	6	29	15	30	10	3
ostta07g01575	59	109	100	98	104	44
ostta07g01580	332	808	396	268	314	91
ostta07g01590	0	1	1	2	0	2
ostta07g01600	60	162	60	146	127	67
ostta07g01610	4659	10569	6956	8830	7797	5197
ostta07g01620	224	456	171	275	250	255
ostta07g01630	42	84	57	80	61	35
ostta07g01640	1956	6479	2328	3354	3317	3628
ostta07g01650	1106	2349	1020	2050	1904	1971
ostta07g01660	180	364	203	280	205	543
ostta07g01670	81	214	148	92	95	128
ostta07g01680	756	1993	775	1841	1790	1802
ostta07g01690	80	136	138	90	97	55
ostta07g01700	210	566	210	191	211	86
ostta07g01710	30	65	34	27	17	14
ostta07g01720	89	192	144	182	110	80
ostta07g01730	211	412	185	203	160	37
ostta07g01740	457	1097	520	629	612	3934
ostta07g01750	148	302	231	216	173	170
ostta07g01760	160	281	200	125	85	134
ostta07g01770	437	953	408	758	856	1006
ostta07g01780	67	99	71	67	91	58
ostta07g01790	184	423	118	208	172	13
ostta07g01800	300	563	292	522	488	308
ostta07g01810	109	350	145	109	64	8
ostta07g01820	286	681	278	241	251	165
ostta07g01830	63	105	60	92	78	25
ostta07g01840	0	0	1	0	2	0
ostta07g01850	91	284	115	23	109	628
ostta07g01860	578	1009	885	841	869	1056
ostta07g01870	23	37	34	69	27	2
ostta07g01880	276	742	343	361	367	335
ostta07g01890	93	232	106	122	113	11
ostta07g01895	171	321	157	197	191	183
ostta07g01900	245	480	248	358	327	362
ostta07g01910	405	1125	501	704	741	565
ostta07g01920	887	1742	1003	1344	1201	916
ostta07g01930	80	168	138	66	117	104
ostta07g01940	10	19	18	14	15	13
ostta07g01950	1038	2864	856	1483	1376	271
ostta07g01960	147	298	139	261	211	242
ostta07g01970	45	69	31	55	64	44
ostta07g01975	443	773	690	675	518	325
ostta07g01980	383	1322	349	259	405	294
ostta07g01990	156	201	261	225	159	106
ostta07g02000	75	143	84	73	59	42
ostta07g02010	299	732	278	384	345	381
ostta07g02020	123	223	137	196	165	196
ostta07g02030	63	110	50	89	75	73
ostta07g02040	771	1463	790	644	600	2650
ostta07g02050	46	126	73	94	56	10
ostta07g02060	150	253	212	183	116	29
ostta07g02070	50	104	42	37	23	3
ostta07g02080	17	27	15	27	22	1
ostta07g02090	151	352	180	255	196	201
ostta07g02100	56	92	79	79	75	113
ostta07g02110	163	289	189	143	101	152
ostta07g02120	4183	9449	4879	5566	5463	8575
ostta07g02130	208	363	231	315	224	264
ostta07g02140	287	527	295	536	424	193
ostta07g02150	76	157	139	141	137	97
ostta07g02160	46	72	56	83	56	44
ostta07g02170	86	118	100	136	126	124
ostta07g02180	673	1365	941	778	529	894
ostta07g02190	53	100	76	79	39	81
ostta07g02200	151	369	138	220	211	199
ostta07g02210	77	167	77	66	60	35
ostta07g02220	106	187	72	153	110	101
ostta07g02230	87	177	77	99	121	110
ostta07g02240	316	1022	303	375	325	140
ostta07g02250	656	1459	632	889	887	639
ostta07g02260	696	1561	711	975	897	807
ostta07g02270	111	274	102	151	157	131
ostta07g02280	345	777	379	701	565	538
ostta07g02290	681	1647	627	978	967	1158
ostta07g02300	40	78	44	58	84	27
ostta07g02310	710	1327	691	245	191	482
ostta07g02320	27	57	32	20	10	8
ostta07g02330	951	2256	897	920	831	1490
ostta07g02340	337	539	437	628	503	1159
ostta07g02350	170	378	131	229	142	45
ostta07g02360	100	266	99	127	131	73
ostta07g02370	108	177	168	170	111	85
ostta07g02380	1293	2739	1146	2555	1667	2823
ostta07g02390	751	1939	779	1137	1079	1308
ostta07g02400	0	0	0	0	0	0
ostta07g02420	0	0	0	0	0	0
ostta07g02430	0	0	0	0	0	0
ostta07g02440	36	56	26	29	19	119
ostta07g02450	96	244	99	78	84	949
ostta07g02460	24	38	26	16	15	209
ostta07g02470	432	876	669	512	462	760
ostta07g02480	46	101	82	87	44	60
ostta07g02490	64	106	80	65	74	83
ostta07g02500	10342	24581	11466	34501	27598	20757
ostta07g02510	62	176	69	71	33	7
ostta07g02520	92	223	92	93	108	141
ostta07g02530	4388	9278	4618	8833	6960	15120
ostta07g02540	306	872	277	495	514	173
ostta07g02550	619	1170	392	1085	816	348
ostta07g02560	76	173	119	167	178	127
ostta07g02570	1299	2594	1290	1702	1613	899
ostta07g02580	115	219	166	88	94	74
ostta07g02590	259	514	334	254	181	1073
ostta07g02600	459	1073	416	579	486	281
ostta07g02610	96	164	194	52	57	16
ostta07g02620	110	226	107	114	138	95
ostta07g02630	74	162	116	99	120	29
ostta07g02640	85	182	125	120	142	17
ostta07g02650	561	1362	621	1333	1353	906
ostta07g02660	95	191	117	211	215	130
ostta07g02670	55	131	69	89	58	22
ostta07g02675	55	89	82	105	90	63
ostta07g02680	225	554	219	264	291	351
ostta07g02690	77	106	111	144	116	86
ostta07g02700	233	361	311	363	238	222
ostta07g02710	457	672	656	619	451	217
ostta07g02720	403	893	352	488	374	465
ostta07g02725	153	332	128	192	132	208
ostta07g02730	45	152	42	82	66	62
ostta07g02740	54	73	61	34	42	45
ostta07g02750	99	153	153	161	135	107
ostta07g02760	276	758	241	349	413	194
ostta07g02770	320	891	299	383	430	320
ostta07g02780	237	596	268	235	226	67
ostta07g02790	15	34	46	55	41	30
ostta07g02800	34	57	40	70	59	38
ostta07g02805	27	76	49	27	24	62
ostta07g02810	470	934	505	408	299	488
ostta07g02820	401	901	524	426	416	339
ostta07g02830	40	73	43	54	44	43
ostta07g02840	152	281	165	253	229	158
ostta07g02850	224	460	402	651	510	189
ostta07g02855	74	112	121	126	97	88
ostta07g02860	110	333	169	128	130	39
ostta07g02870	52	105	88	72	62	3
ostta07g02880	373	801	446	998	947	194
ostta07g02890	660	1657	680	832	851	373
ostta07g02900	140	217	110	142	70	6
ostta07g02910	198	468	231	269	346	321
ostta07g02920	36	54	22	49	43	23
ostta07g02930	722	1726	771	670	829	518
ostta07g02940	16	47	61	59	30	35
ostta07g02950	73	174	149	208	163	104
ostta07g02960	99	231	130	199	170	87
ostta07g02970	1042	2715	849	1408	1582	1746
ostta07g02980	0	3	0	0	1	1
ostta07g02990	40	72	43	71	82	11
ostta07g03000	47	107	47	119	92	22
ostta07g03010	67	126	60	41	43	5
ostta07g03020	26	62	44	35	37	3
ostta07g03030	161	220	200	248	299	244
ostta07g03040	265	745	261	478	441	479
ostta07g03050	256	609	327	278	289	1313
ostta07g03060	687	1610	782	1041	1031	906
ostta07g03070	75	139	109	36	38	717
ostta07g03080	0	3	1	0	1	0
ostta07g03090	47	84	68	33	23	4
ostta07g03100	152	393	194	255	242	105
ostta07g03110	128	334	107	138	215	204
ostta07g03120	120	288	123	168	120	103
ostta07g03130	448	1035	511	688	686	565
ostta07g03140	280	516	287	357	319	480
ostta07g03150	2	10	0	9	6	4
ostta07g03160	499	1118	489	640	539	418
ostta07g03170	32	47	32	39	26	13
ostta07g03180	0	0	0	0	0	0
ostta07g03190	60	153	59	69	36	6
ostta07g03200	249	473	190	329	242	18
ostta07g03210	367	930	305	217	230	87
ostta07g03220	350	665	437	111	117	53
ostta07g03230	352	670	492	695	719	511
ostta07g03240	2	2	2	3	1	2
ostta07g03250	0	3	4	0	0	0
ostta07g03260	34	84	20	12	10	3
ostta07g03270	138	183	101	177	183	162
ostta07g03280	52	148	53	80	110	72
ostta07g03290	65	135	54	103	56	28
ostta07g03300	0	0	0	0	0	1
ostta07g03310	7	9	3	2	0	0
ostta07g03320	98	187	78	131	102	59
ostta07g03330	358	863	410	468	421	378
ostta07g03340	114	265	171	140	117	483
ostta07g03350	91	195	107	112	109	60
ostta07g03360	66	100	99	129	124	145
ostta07g03370	39	60	48	85	75	88
ostta07g03380	1600	3451	1075	1382	908	494
ostta07g03400	69	169	97	139	87	69
ostta07g03410	8516	16926	10216	5508	5166	4592
ostta07g03420	1730	5677	1579	1327	1717	2064
ostta07g03430	188	330	215	434	297	378
ostta07g03440	6933	13781	8288	11909	11567	15248
ostta07g03450	295	598	365	626	573	533
ostta07g03460	49	92	61	90	72	26
ostta07g03470	266	531	278	539	505	476
ostta07g03480	71	173	86	73	64	14
ostta07g03490	125	272	174	277	202	196
ostta07g03500	644	1146	814	1598	949	1532
ostta07g03510	421	1364	341	436	501	459
ostta07g03520	146	242	115	136	101	74
ostta07g03530	142	445	129	171	172	280
ostta07g03540	108	266	118	192	116	20
ostta07g03550	323	749	341	341	280	236
ostta07g03560	575	1540	501	691	641	218
ostta07g03565	40	69	29	41	94	83
ostta07g03570	138	265	152	269	193	173
ostta07g03580	14	34	12	17	18	26
ostta07g03590	172	437	182	223	214	247
ostta07g03600	136	280	165	134	78	62
ostta07g03610	513	833	469	733	430	325
ostta07g03620	639	1541	519	774	836	842
ostta07g03630	85	177	64	187	136	26
ostta07g03635	76	165	91	75	40	3
ostta07g03640	907	1835	1440	1156	1223	433
ostta07g03650	209	352	360	427	254	167
ostta07g03660	308	634	391	413	372	316
ostta07g03670	620	1265	1020	910	1010	541
ostta07g03680	513	931	860	681	426	255
ostta07g03690	1633	3616	2073	2527	1738	1175
ostta07g03700	66	134	75	44	51	4
ostta07g03710	44	93	62	110	79	6
ostta07g03720	10	26	16	32	15	1
ostta07g03730	144	263	129	276	190	202
ostta07g03740	137	230	102	144	115	23
ostta07g03750	0	3	0	4	0	0
ostta07g03760	90	177	78	148	121	126
ostta07g03770	49	85	69	120	102	39
ostta07g03780	34	91	62	49	84	37
ostta07g03790	515	1179	650	763	628	383
ostta07g03800	146	296	149	156	153	213
ostta07g03810	71	133	86	68	67	55
ostta07g03820	890	2542	791	850	830	356
ostta07g03830	57	148	72	114	114	33
ostta07g03840	1117	2894	1031	2136	1771	2353
ostta07g03850	518	1049	578	232	222	154
ostta07g03860	33	44	32	39	28	60
ostta07g03870	2	0	0	0	0	0
ostta07g03880	227	441	261	70	38	276
ostta07g03885	29	61	38	32	25	17
ostta07g03890	136	351	114	219	181	119
ostta07g03900	394	788	348	319	322	142
ostta07g03910	642	1602	458	809	685	636
ostta07g03920	60	113	94	121	123	55
ostta07g03930	19	16	14	21	50	28
ostta07g03940	29	51	48	44	39	34
ostta07g03950	1607	4337	1798	2500	2228	1651
ostta07g03960	553	1102	562	616	435	212
ostta07g03980	198	404	184	185	178	350
ostta07g03990	149	303	228	208	163	64
ostta07g04000	480	922	448	559	506	367
ostta07g04010	302	696	378	421	328	230
ostta07g04020	176	335	153	132	122	15
ostta07g04030	593	790	475	313	299	162
ostta07g04040	225	631	220	177	142	17
ostta07g04050	35	83	54	95	66	26
ostta07g04060	114	265	169	187	134	188
ostta07g04070	44	90	65	62	48	29
ostta07g04080	11	17	10	13	12	0
ostta07g04090	142	271	233	288	221	137
ostta07g04100	85	171	126	179	152	52
ostta07g04110	758	1728	793	1567	1589	1824
ostta07g04120	272	678	210	327	312	276
ostta07g04130	27	34	24	41	45	34
ostta07g04140	166	242	157	172	170	132
ostta07g04150	146	230	157	189	193	148
ostta07g04160	358	657	265	323	264	462
ostta07g04170	32	84	37	30	28	8
ostta07g04180	181	358	333	280	218	108
ostta07g04190	87	162	85	140	119	85
ostta07g04200	286	532	326	439	463	346
ostta07g04210	116	283	127	216	219	129
ostta07g04220	54	90	51	90	80	25
ostta07g04230	4	1	0	3	3	0
ostta07g04240	373	851	403	492	370	289
ostta07g04250	41	103	44	87	57	42
ostta07g04260	2928	6769	3424	3435	3482	687
ostta07g04270	113	226	162	178	190	45
ostta07g04280	294	725	244	469	265	7
ostta07g04290	981	2009	803	1107	859	804
ostta07g04300	83	130	68	95	88	69
ostta07g04310	31	50	40	44	21	2
ostta07g04320	80	187	101	206	143	79
ostta07g04330	668	1321	651	394	425	283
ostta07g04340	1	3	0	4	3	0
ostta07g04350	602	1271	604	831	659	623
ostta07g04360	39	141	54	30	21	16
ostta07g04370	2108	6386	1731	2690	2780	12684
ostta07g04380	64	91	82	77	98	19
ostta07g04390	144	279	128	164	131	326
ostta07g04400	1	2	4	0	0	1
ostta07g04410	856	2228	848	495	385	960
ostta07g04420	79	205	77	153	113	104
ostta07g04430	69	241	90	86	50	1
ostta07g04440	810	1688	583	765	605	751
ostta07g04450	154	352	166	72	54	91
ostta07g04460	307	611	288	341	320	881
ostta07g04470	110	181	115	222	154	133
ostta07g04480	100	171	65	170	155	27
ostta07g04490	121	236	194	132	123	44
ostta07g04500	72	158	79	61	50	282
ostta07g04510	86	226	110	175	74	3
ostta07g04520	34	61	37	54	37	2
ostta07g04530	675	1596	568	333	286	1934
ostta07g04540	675	1265	953	1117	846	960
ostta07g04550	165	330	154	333	253	281
ostta07g04560	288	723	308	578	509	507
ostta07g04570	70	105	79	126	95	80
ostta07g04580	632	1369	641	1061	1064	952
ostta07g04590	113	214	89	196	164	116
ostta07g04600	45	118	51	46	80	69
ostta07g04610	15	32	26	28	12	1
ostta07g04620	625	1694	696	749	733	608
ostta07g04630	75	137	146	187	127	65
ostta07g04640	383	795	403	621	425	173
ostta07g04650	195	464	205	483	380	174
ostta07g04660	260	542	318	216	184	52
ostta07g04670	63	173	86	116	96	105
ostta07g04680	96	178	149	180	138	95
ostta07g04690	112	239	124	168	204	222
ostta07g04700	52	119	67	92	102	64
ostta07g04710	13	16	19	13	11	16
ostta07g04720	72	170	92	125	82	92
ostta07g04730	27	68	67	59	64	65
ostta07g04740	40	77	63	59	67	72
ostta07g04750	96	240	108	142	112	137
ostta07g04760	0	1	0	0	0	0
ostta08g00010	397	834	460	515	502	425
ostta08g00020	34	50	48	67	57	27
ostta08g00030	19	44	20	19	31	12
ostta08g00040	1099	3060	1357	1446	1567	1087
ostta08g00050	545	1109	706	947	881	629
ostta08g00060	1055	1989	1453	1576	1236	2120
ostta08g00070	392	760	434	438	501	660
ostta08g00080	380	643	495	689	493	713
ostta08g00090	0	1	7	0	1	2
ostta08g00100	658	1529	611	862	939	1156
ostta08g00110	68	144	92	94	79	92
ostta08g00120	15	36	22	11	15	0
ostta08g00130	881	1399	901	1531	973	1288
ostta08g00140	225	460	334	366	399	481
ostta08g00150	1499	2693	1612	1779	1428	2295
ostta08g00160	5203	12460	4810	5694	5351	7894
ostta08g00170	81	138	125	159	104	103
ostta08g00180	94	153	177	222	140	143
ostta08g00190	87	146	124	122	116	132
ostta08g00200	2911	4966	4483	6041	4250	2882
ostta08g00210	45	86	102	49	54	54
ostta08g00220	122	260	127	204	152	162
ostta08g00230	443	1036	353	575	398	434
ostta08g00240	907	1879	1224	334	337	98
ostta08g00250	47	88	69	101	73	83
ostta08g00260	155	269	173	213	176	150
ostta08g00270	47	94	106	98	121	63
ostta08g00280	15	32	27	37	18	15
ostta08g00290	10	12	4	5	1	9
ostta08g00300	173	369	191	347	248	150
ostta08g00310	227	488	253	400	446	468
ostta08g00320	92	177	136	104	78	47
ostta08g00330	287	698	280	398	259	72
ostta08g00340	45	97	36	66	65	46
ostta08g00350	0	0	0	0	0	0
ostta08g00360	49	173	74	52	91	75
ostta08g00370	116	234	149	208	225	242
ostta08g00380	189	346	168	345	372	298
ostta08g00390	0	7	6	0	0	0
ostta08g00400	2	0	4	2	1	3
ostta08g00410	772	1542	736	893	711	546
ostta08g00420	93	274	109	167	150	192
ostta08g00430	52	118	65	108	73	77
ostta08g00440	115	273	161	201	131	114
ostta08g00450	63	123	72	117	92	109
ostta08g00460	312	758	504	728	643	605
ostta08g00470	27	96	53	60	58	40
ostta08g00480	787	1755	1172	1191	974	78
ostta08g00490	276	741	327	308	335	52
ostta08g00500	25	62	57	46	38	33
ostta08g00510	21	49	31	10	8	4
ostta08g00520	73	202	48	69	59	52
ostta08g00530	300	870	293	363	347	339
ostta08g00540	0	0	0	0	0	0
ostta08g00550	90	171	118	174	106	63
ostta08g00560	1552	3041	2142	2518	1563	223
ostta08g00570	198	357	306	278	234	110
ostta08g00580	1014	1781	1453	1553	1029	692
ostta08g00590	89	120	76	126	106	8
ostta08g00600	23	45	41	36	35	52
ostta08g00610	44	68	46	54	72	66
ostta08g00620	98	207	149	201	183	152
ostta08g00630	183	446	249	445	325	396
ostta08g00640	51	136	93	96	88	47
ostta08g00650	26	73	61	78	67	14
ostta08g00660	40	114	48	81	73	44
ostta08g00670	110	232	106	168	137	52
ostta08g00680	633	1514	763	1306	1561	1958
ostta08g00690	53	146	75	86	106	92
ostta08g00700	67	121	63	114	98	27
ostta08g00710	775	2247	887	1298	1264	575
ostta08g00720	80	229	118	181	189	28
ostta08g00730	67	196	93	108	98	76
ostta08g00740	63	197	73	114	108	89
ostta08g00750	25	90	27	25	69	33
ostta08g00755	65	146	57	126	71	56
ostta08g00760	53	106	56	116	98	20
ostta08g00770	63	138	98	99	189	35
ostta08g00780	195	443	223	332	249	119
ostta08g00790	240	727	232	293	328	194
ostta08g00800	659	2084	601	486	412	46
ostta08g00810	184	334	250	419	335	162
ostta08g00820	597	1423	906	1311	1068	236
ostta08g00830	566	1887	567	667	870	701
ostta08g00840	779	2070	827	1771	1544	295
ostta08g00850	114	228	97	39	19	117
ostta08g00860	835	2026	802	928	836	949
ostta08g00865	126	274	245	568	451	278
ostta08g00870	160	534	152	275	225	242
ostta08g00880	560	1193	549	915	815	372
ostta08g00890	12	42	30	66	39	23
ostta08g00900	847	2292	783	1094	948	113
ostta08g00910	106	231	119	158	173	119
ostta08g00920	187	389	164	344	215	189
ostta08g00930	688	1723	673	703	544	207
ostta08g00940	280	543	391	495	369	248
ostta08g00950	26	41	14	60	28	45
ostta08g00960	11	12	11	12	10	11
ostta08g00970	208	423	239	304	398	264
ostta08g00980	1007	2481	853	948	914	370
ostta08g00990	14	42	28	8	5	26
ostta08g01000	127	278	119	93	66	10
ostta08g01020	12	19	5	0	0	0
ostta08g01030	18	49	31	33	48	35
ostta08g01040	186	346	182	257	246	243
ostta08g01050	101	224	76	153	122	66
ostta08g01060	0	0	0	0	0	0
ostta08g01070	366	969	296	509	497	464
ostta08g01080	423	978	408	570	475	495
ostta08g01090	154	378	186	211	216	191
ostta08g01100	181	318	214	172	145	763
ostta08g01110	57	151	62	124	121	85
ostta08g01120	205	499	197	443	447	440
ostta08g01130	929	1602	1228	1592	1434	2123
ostta08g01140	352	624	604	768	496	561
ostta08g01150	100	195	77	134	111	74
ostta08g01155	90	191	107	135	127	31
ostta08g01160	210	409	229	172	143	121
ostta08g01170	162	271	242	225	172	69
ostta08g01180	788	1578	793	650	716	1858
ostta08g01190	16	36	30	32	38	38
ostta08g01200	131	292	102	190	179	70
ostta08g01210	139	362	148	225	236	175
ostta08g01220	231	471	311	309	293	179
ostta08g01240	1680	3990	2018	2320	3048	2500
ostta08g01250	47	111	37	65	52	69
ostta08g01260	16	21	25	36	12	26
ostta08g01270	218	541	225	318	294	278
ostta08g01280	1389	4869	1080	1547	1680	1353
ostta08g01290	341	856	424	612	501	240
ostta08g01300	184	292	194	386	314	274
ostta08g01310	161	528	163	277	250	310
ostta08g01320	505	1207	565	708	441	474
ostta08g01330	1158	2274	1097	2287	1981	666
ostta08g01340	150	346	120	170	134	3
ostta08g01350	195	369	187	104	77	156
ostta08g01360	606	1229	580	378	334	300
ostta08g01370	783	2043	697	1558	1441	1584
ostta08g01380	13	18	19	2	4	2
ostta08g01390	55	92	62	139	57	45
ostta08g01395	446	764	604	510	334	157
ostta08g01400	339	955	392	260	195	34
ostta08g01410	702	1856	751	1487	932	977
ostta08g01420	91	149	62	89	113	30
ostta08g01430	62	80	65	69	49	30
ostta08g01440	169	478	203	281	240	23
ostta08g01470	32	100	48	73	71	113
ostta08g01480	168	401	166	130	101	9
ostta08g01490	12	18	13	38	13	0
ostta08g01500	39	86	64	71	71	54
ostta08g01510	154	331	153	239	205	170
ostta08g01520	2779	7696	2613	7074	8185	12068
ostta08g01530	19	45	30	26	11	1
ostta08g01540	27	69	50	65	48	31
ostta08g01550	710	1537	695	1039	997	1075
ostta08g01560	218	421	183	243	197	156
ostta08g01570	122	248	143	88	69	221
ostta08g01580	71	120	34	29	15	8
ostta08g01590	176	313	317	205	175	69
ostta08g01600	19	28	8	24	25	10
ostta08g01610	247	620	225	138	141	320
ostta08g01620	482	1067	609	657	498	609
ostta08g01630	88	123	84	70	50	6
ostta08g01640	109	253	64	132	154	167
ostta08g01650	115	198	108	102	74	75
ostta08g01660	31	68	52	38	31	15
ostta08g01670	99	198	81	116	108	30
ostta08g01680	58	157	44	127	94	74
ostta08g01690	198	479	164	104	58	19
ostta08g01700	50	72	34	73	45	10
ostta08g01710	14	38	10	24	8	2
ostta08g01730	1229	3157	1504	873	935	444
ostta08g01740	726	1696	728	614	608	392
ostta08g01750	374	621	615	423	390	255
ostta08g01760	182	324	190	326	262	182
ostta08g01770	530	1472	505	1024	960	826
ostta08g01780	75	175	34	109	113	8
ostta08g01790	67	180	69	93	74	47
ostta08g01800	1388	2461	2130	1208	1108	198
ostta08g01810	53	124	68	104	109	73
ostta08g01820	148	393	165	231	168	40
ostta08g01830	92	149	155	171	137	87
ostta08g01840	237	363	307	315	258	115
ostta08g01850	354	929	336	394	442	313
ostta08g01860	0	1	1	0	0	0
ostta08g01870	46	112	60	103	65	4
ostta08g01880	898	2206	1027	837	418	12
ostta08g01890	717	1249	859	497	396	500
ostta08g01895	98	243	107	136	87	63
ostta08g01900	145	409	132	138	79	12
ostta08g01910	32	129	45	71	30	3
ostta08g01920	13	67	27	34	39	3
ostta08g01930	104	240	94	156	151	68
ostta08g01940	205	341	144	218	209	141
ostta08g01950	527	1489	471	627	634	322
ostta08g01960	221	450	244	381	356	304
ostta08g01970	509	1103	445	529	477	517
ostta08g01980	20	68	21	21	43	45
ostta08g01990	41	108	37	62	42	49
ostta08g02000	30	62	64	34	37	30
ostta08g02010	209	534	227	293	200	144
ostta08g02020	35	59	75	55	41	27
ostta08g02030	18	33	27	32	50	22
ostta08g02040	347	930	363	338	335	256
ostta08g02050	39	81	56	46	56	17
ostta08g02060	258	536	294	647	558	40
ostta08g02070	67	102	100	99	79	158
ostta08g02080	448	964	490	438	406	543
ostta08g02090	37	104	68	28	56	76
ostta08g02100	427	823	334	600	536	1737
ostta08g02110	347	904	400	317	260	72
ostta08g02120	161	334	152	262	182	68
ostta08g02130	245	539	291	436	599	582
ostta08g02140	48	99	50	111	53	42
ostta08g02150	145	366	138	245	231	678
ostta08g02160	205	421	251	93	92	67
ostta08g02170	650	1126	729	915	741	160
ostta08g02180	682	1539	671	677	593	129
ostta08g02190	0	1	0	0	0	1
ostta08g02200	464	727	502	646	606	689
ostta08g02210	262	520	416	429	274	106
ostta08g02220	310	585	333	452	318	279
ostta08g02230	353	813	533	590	486	600
ostta08g02240	158	222	157	227	171	187
ostta08g02250	397	753	515	820	602	164
ostta08g02260	102	196	112	149	154	31
ostta08g02270	114	228	196	191	191	96
ostta08g02280	255	426	404	475	441	412
ostta08g02290	432	801	451	818	657	582
ostta08g02295	53	102	67	93	56	139
ostta08g02300	120	239	108	163	112	181
ostta08g02310	1059	2241	1060	2191	1996	2264
ostta08g02320	0	3	1	4	6	0
ostta08g02330	223	496	301	369	379	225
ostta08g02340	6	11	8	3	4	7
ostta08g02350	237	464	292	365	321	458
ostta08g02360	1495	2886	1513	1709	1662	4529
ostta08g02370	87	217	199	219	167	196
ostta08g02380	289	574	346	196	174	218
ostta08g02390	716	1166	891	445	415	1196
ostta08g02400	137	294	153	214	189	21
ostta08g02410	89	164	84	113	62	15
ostta08g02420	39	85	53	38	25	4
ostta08g02430	1027	2287	1241	726	487	575
ostta08g02440	268	450	306	288	207	222
ostta08g02450	108	231	156	172	160	161
ostta08g02460	222	600	214	261	260	187
ostta08g02470	527	1132	516	458	465	264
ostta08g02480	113	244	137	112	86	163
ostta08g02490	45	77	42	64	57	67
ostta08g02500	114	169	128	148	156	111
ostta08g02510	1977	4681	1458	2158	1618	1619
ostta08g02520	76	146	120	170	76	32
ostta08g02530	52	107	56	61	51	21
ostta08g02540	351	645	355	342	418	574
ostta08g02550	4157	7181	6887	6390	6996	9340
ostta08g02560	246	468	163	277	223	201
ostta08g02570	444	798	635	772	574	416
ostta08g02580	77	101	150	117	111	54
ostta08g02590	22	36	25	67	43	48
ostta08g02600	247	452	235	280	307	236
ostta08g02610	82	204	61	126	64	0
ostta08g02620	61	82	96	124	99	47
ostta08g02630	162	256	149	258	201	175
ostta08g02640	210	403	141	155	156	108
ostta08g02650	150	309	184	169	177	99
ostta08g02660	65	128	82	96	85	79
ostta08g02670	421	1036	433	397	453	177
ostta08g02680	106	193	128	146	128	98
ostta08g02690	682	1748	740	1045	1001	668
ostta08g02700	77	234	99	127	110	29
ostta08g02710	87	140	108	106	46	31
ostta08g02720	696	1421	990	1027	1010	864
ostta08g02730	304	558	367	376	320	398
ostta08g02740	741	1260	966	835	909	1140
ostta08g02750	138	272	119	105	95	126
ostta08g02760	450	1037	502	444	339	351
ostta08g02770	89	163	73	121	97	147
ostta08g02780	89	196	87	121	118	105
ostta08g02790	78	143	42	69	42	103
ostta08g02800	0	0	0	0	0	0
ostta08g02810	7	13	9	9	6	16
ostta08g02820	566	1629	638	712	608	554
ostta08g02830	388	847	358	403	387	377
