CondA_SRR3105699	CondA_SRR3105698	CondA_SRR3105697	CondB_SRR3099587	CondB_SRR3099586	CondB_SRR3099585
ostta01g02720	127	234	187	259	209	130
ostta01g02730	108	181	90	109	112	145
ostta01g02740	2043	3107	2825	4199	4092	3123
ostta01g02750	1346	2943	1438	2219	1580	1470
ostta01g02760	814	1740	1077	1299	1167	755
ostta01g02770	829	1753	719	1133	1136	1013
ostta01g02780	807	1644	727	1218	1242	1302
ostta01g02790	303	642	344	521	429	437
ostta01g02800	36	91	73	76	73	23
ostta01g02810	8	13	7	3	4	1
ostta01g02820	15	39	32	20	18	56
ostta01g02825	935	1605	1407	1159	1028	987
ostta01g02830	267	499	302	185	207	125
ostta01g02840	230	498	310	405	427	355
ostta01g02845	130	267	111	270	169	163
ostta01g02847	110	243	121	149	119	69
ostta01g02850	143	340	147	243	138	202
ostta01g02860	335	695	227	234	148	313
ostta01g02870	214	514	211	98	124	216
ostta01g02880	325	570	408	428	461	341
ostta01g02890	78	132	79	107	151	31
ostta01g02895	33	68	35	41	40	5
ostta01g02910	226	539	244	460	425	250
ostta01g02920	276	486	404	406	312	203
ostta01g02930	175	507	175	194	201	188
ostta01g02940	135	264	136	231	172	189
ostta01g02950	22	52	28	40	19	21
ostta01g02960	47	70	33	40	41	34
ostta01g02970	79	115	99	101	114	33
ostta01g02980	57	102	101	98	74	16
ostta01g02990	283	608	281	278	239	245
ostta01g03000	44	117	55	81	69	20
ostta01g03010	24	40	35	53	32	41
ostta01g03020	188	391	212	496	400	313
ostta01g03030	4914	11283	4344	5943	4782	8296
ostta01g03040	1368	3430	1219	843	540	4681
ostta01g03050	263	652	315	393	332	258
ostta01g03060	53	141	140	130	153	51
ostta01g03070	91	140	81	52	59	60
ostta01g03080	29	47	32	3	3	53
ostta01g03090	41	72	48	64	44	5
ostta01g03100	245	519	204	241	201	28
ostta01g03110	167	331	260	335	271	171
ostta01g03120	329	787	337	562	380	245
ostta01g03130	74	157	76	137	91	74
ostta01g03140	178	326	350	391	251	251
ostta01g03150	1634	3135	1933	2134	1504	1058
ostta01g03160	285	620	336	359	300	159
ostta01g03170	97	160	95	302	257	491
ostta01g03180	38	87	42	77	64	42
ostta01g03190	1024	1962	1477	876	771	690
ostta01g03200	415	1356	423	593	521	601
ostta01g03210	280	462	396	432	272	210
ostta01g03220	57	74	48	68	61	48
ostta01g03230	75	144	76	95	66	51
ostta01g03240	73	171	71	121	105	38
ostta01g03250	370	748	443	692	534	404
ostta01g03260	321	764	335	547	514	426
ostta01g03270	196	408	182	293	205	227
ostta01g03280	2871	8848	2618	1610	1251	5207
ostta01g03290	112	284	111	157	174	167
ostta01g03300	129	213	182	171	105	109
ostta01g03310	407	811	446	580	544	541
ostta01g03320	743	1383	840	580	577	595
ostta01g03330	54	97	30	68	68	51
ostta01g03340	257	480	307	442	381	285
ostta01g03350	115	283	113	185	125	91
ostta01g03360	22	57	31	29	28	26
ostta01g03370	326	666	329	257	249	42
ostta01g03380	155	331	129	177	126	52
ostta01g03390	252	514	213	287	269	1252
ostta01g03400	226	459	291	432	391	618
ostta01g03410	153	342	130	114	81	67
ostta01g03420	3699	10183	3188	2402	2622	4613
ostta01g03430	54	75	63	87	94	87
ostta01g03440	271	655	299	467	419	452
ostta01g03450	742	1413	626	910	542	1804
ostta01g03460	92	187	101	184	128	111
ostta01g03470	422	1341	343	517	469	414
ostta01g03480	51	92	48	28	20	1
ostta01g03490	12	7	11	7	9	9
ostta01g03495	34	52	34	37	11	14
ostta01g03500	156	348	140	220	190	56
ostta01g03510	0	0	0	0	0	0
ostta01g03520	661	1432	877	652	1111	724
ostta01g03530	2873	5919	3415	5095	4135	2346
ostta01g03540	817	1541	1190	1213	1228	1085
ostta01g03550	82	114	123	111	120	35
ostta01g03560	429	1046	379	506	462	497
ostta01g03570	246	529	280	285	311	204
ostta01g03580	37	73	42	67	83	26
ostta01g03590	55	172	55	31	62	77
ostta01g03600	348	856	419	572	542	160
ostta01g03610	519	1223	580	819	786	602
ostta01g03620	636	1351	767	1309	1228	1424
ostta01g03630	2047	5332	2318	2634	1996	2209
ostta01g03640	194	422	252	301	239	227
ostta01g03650	58	137	72	79	67	74
ostta01g03660	184	415	190	323	340	351
ostta01g03670	940	1719	1430	2739	3160	2353
ostta01g03680	68	172	69	128	82	58
ostta01g03690	74	108	115	129	103	60
ostta01g03700	3	4	2	12	7	2
ostta01g03710	2	0	2	0	0	0
ostta01g03720	347	898	391	429	423	200
ostta01g03730	88	168	122	156	133	53
